Party_ID	Ans_1	Ans_2	Ans_3	Ans_4	Ans_5	Ans_6	Ans_7	Ans_8	Ans_9	Ans_10	Ans_11	Ans_12	Ans_13	Ans_14	Ans_15	Ans_16	Ans_17	Ans_18	Ans_19	Ans_20	Ans_21	Ans_22	Ans_23	Ans_24	Ans_25	Ans_26	Ans_27	Ans_28	Ans_29	Ans_30	X	Y	Z
PP	5	99	4	1	2	5	2	99	1	1	2	4	1	1	1	5	2	1	1	4	5	5	5	3	5	5	4	5	5	1	0.8333333333	0.65	1
PSOE	5	4	4	2	2	5	4	5	4	4	4	2	4	4	4	3	3	4	4	99	1	1	3	4	4	2	4	2	4	3	-0.5	-0.45	0.75
IU	4	99	5	99	1	2	5	1	5	5	5	1	5	5	5	2	5	5	5	99	1	1	2	5	5	1	4	4	2	5	-1	-0.95	0
UpyD	5	5	5	1	2	4	2	2	4	4	3	2	3	3	2	4	2	4	4	99	3	3	4	3	1	3	1	3	5	4	-0.25	0.05	0.875
PNV_CiU	5	99	5	2	5	5	99	2	2	2	2	4	1	1	99	4	2	99	2	4	4	3	2	2	5	5	5	99	1	3	0.6666666667	0.1666666667	0.8333333333
ERC	4	99	5	1	2	5	5	2	5	5	5	1	5	4	4	2	5	4	5	2	1	1	1	5	5	1	5	1	1	5	-0.9166666667	-0.95	0.8333333333
BNG_Bildu	99	99	5	99	1	99	5	5	5	5	5	1	5	5	5	2	5	5	5	99	1	1	1	99	5	1	5	3	1	5	-1	-1	NA
Podemos	3	2	5	4	1	4	5	1	5	5	5	1	5	5	5	2	5	5	5	99	1	1	1	5	5	1	5	1	2	5	-1	-1	-0.125
Equo	5	4	5	1	2	5	5	1	4	4	5	1	4	4	5	1	5	5	5	2	1	1	1	5	99	1	4	1	2	5	-0.6666666667	-1	0.875
VOX	99	99	2	99	5	4	99	4	1	1	1	5	1	1	4	4	1	99	1	99	5	5	5	1	1	5	1	2	5	1	1	1	NA
