Partidos_ID,country
SPO,Austria
OVP,Austria
FPO,Austria
Grune,Austria
NEOS,Austria
BZO,Austria
ANDERS,Austria
REKOS,Austria
EU.STOP,Austria
GERB,Bulgaria
BSP,Bulgaria
MovementRights,Bulgaria
Attack,Bulgaria
RB,Bulgaria
BwC,Bulgaria
ABV,Bulgaria
NFSB,Bulgaria
SDP.Kukuriku,Croatia
HDZ,Croatia
Laburisti,Croatia
OraH,Croatia
NfiHSLS,Croatia
SavezZaHrv,Croatia
HSP.AS,Croatia
DISY,Cyprus
AKEL,Cyprus
DIKO,Cyprus
EDEK,Cyprus
EuroKo,Cyprus
KOP,Cyprus
Symmachia,Cyprus
ELAM,Cyprus
CSSD,Czech Republic
ANO,Czech Republic
KSCM,Czech Republic
TOP09,Czech Republic
ODS,Czech Republic
Usvit,Czech Republic
KDU_CSL,Czech Republic
SZ,Czech Republic
SP,Czech Republic
Svobodni,Czech Republic
Socialdemok,Denmark
RadikaleVenstre,Denmark
Konservative,Denmark
Socialistisk,Denmark
LiberalAlliance,Denmark
Folkeparti,Denmark
Venstre,Denmark
FolkeModEU,Denmark
Conservatives,England
Labour,England
LibDems,England
Greens,England
UKIP,England
Reformierakond,Estonia
Keskerakond,Estonia
IRL,Estonia
Sotsiaaldemokraadid,Estonia
Rohelised,Estonia
Konservatiivne,Estonia
Kokoomus,Finland
SDP,Finland
Perus,Finland
Keskusta,Finland
Vasem,Finland
Vihrea,Finland
SFP.RKP,Finland
Kristil,Finland
FG,France
PS,France
EELV,France
Modem,France
UMP,France
Debout,France
FN,France
NPA,France
FV,France
RC,France
CDU_CSU,Germany
SPD,Germany
FDP,Germany
Grunen,Germany
Linke,Germany
AfD,Germany
ND,Greece
Syriza,Greece
Elia,Greece
ANEL,Greece
GD,Greece
KKE,Greece
DIMAR,Greece
Potami,Greece
Greens,Greece
Drassi,Greece
Fidesz,Hungary
MSZP,Hungary
Jobbik,Hungary
LMP,Hungary
E14,Hungary
DK,Hungary
FF,Ireland
FG,Ireland
Labour,Ireland
SF,Ireland
Greens,Ireland
Socialists,Ireland
PD,Italy
FI,Italy
LegaNord,Italy
NCD.UDC,Italy
M5S,Italy
FDI,Italy
Lista.Tsipras,Italy
ScelteEur,Italy
LSDP,Lithuania
DP,Lithuania
TS.LKD,Lithuania
LRLS,Lithuania
Tvarka,Lithuania
LLRA,Lithuania
LVZS,Lithuania
VVD,Netherlands
PvdA,Netherlands
PVV,Netherlands
SP,Netherlands
CDA,Netherlands
D66,Netherlands
CU.SGP,Netherlands
GL,Netherlands
PvdD,Netherlands
50PLUS,Netherlands
DUP,Northern Ireland
SF,Northern Ireland
SDLP,Northern Ireland
UUP,Northern Ireland
Alliance,Northern Ireland
PO,Poland
PiS,Poland
PSL,Poland
SLD.UP,Poland
SP,Poland
Europa.,Poland
NP,Poland
RN,Poland
PR,Poland
Alianca,Portugal
CDU,Portugal
BE,Portugal
PS,Portugal
Livre,Portugal
MPT,Portugal
PCTP,Portugal
PAN,Portugal
PSD,Romania
PNL,Romania
PDL,Romania
PMP,Romania
UDMR,Romania
PPDD,Romania
Labour,Scotland
SNP,Scotland
Conservatives,Scotland
LibDems,Scotland
UKIP,Scotland
Greens,Scotland
KDH,Slovakia
LSNS,Slovakia
MostHid,Slovakia
NOVA,Slovakia
OLANO,Slovakia
SaS,Slovakia
SDKU_DS,Slovakia
SMER_SD,Slovakia
SMK,Slovakia
SNS,Slovakia
SDS,Slovenia
SD,Slovenia
PS,Slovenia
DeSUS,Slovenia
NSi,Slovenia
SLS,Slovenia
DS,Slovenia
PP,Spain
PSOE,Spain
IU,Spain
UpyD,Spain
PNV_CiU,Spain
ERC,Spain
BNG_Bildu,Spain
Podemos,Spain
Equo,Spain
VOX,Spain
Socialdemok,Sweden
Moder,Sweden
Miljo,Sweden
Folk,Sweden
Center,Sweden
Sverigedemok,Sweden
Vanster,Sweden
Kristdemok,Sweden
Pirat,Sweden
Feminist,Sweden
Conservatives,Wales
Labour,Wales
LibDems,Wales
Plaid,Wales
UKIP,Wales
Greens,Wales
