Partidos_ID;Ans_1;Ans_2;Ans_3;Ans_4;Ans_5;Ans_6;Ans_7;Ans_8;Ans_9;Ans_10;Ans_11;Ans_12;Ans_13;Ans_14;Ans_15;Ans_16;Ans_17;Ans_18;Ans_19;Ans_20;Ans_21;Ans_22;Ans_23;Ans_24;Ans_25;Ans_26;Ans_27;Ans_28;Ans_29;Ans_30;X;Y;Z;Country;country
SPO;5;2;4;2;2;5;4;2;4;4;2;5;4;5;1;5;5;4;5;5;3;4;4;1;1;1;4;4;4;2;-0.888888889;-0.5;0.277777778;Austria;Austria
OVP;5;4;5;2;2;5;4;4;4;4;2;3;2;2;4;2;3;2;1;4;2;3;99;4;4;4;5;4;4;3;0.333333333;0.357142857;0.333333333;Austria;Austria
FPO;2;2;1;2;5;3;5;5;4;1;1;4;3;2;4;3;4;4;3;5;1;4;2;4;5;5;5;5;1;1;-0.166666667;0.6875;-0.555555556;Austria;Austria
Grune;5;4;5;2;2;5;4;1;2;4;2;5;3;4;1;5;5;4;5;4;5;4;4;2;1;1;2;2;5;1;-0.722222222;-0.75;0.611111111;Austria;Austria
NEOS;5;4;4;1;2;5;4;3;2;4;2;2;2;1;3;2;3;2;2;1;4;5;99;2;1;1;3;2;4;1;0.5;-0.642857143;0.5;Austria;Austria
BZO;4;2;2;4;4;4;5;5;4;2;1;4;1;2;4;2;3;4;3;1;1;2;2;4;4;2;4;5;1;1;0.277777778;0.5;-0.388888889;Austria;Austria
ANDERS;4;4;5;2;1;3;4;99;99;5;1;5;99;5;1;5;5;4;4;4;4;5;99;99;1;2;2;99;4;2;-0.8125;-0.666666667;0.357142857;Austria;Austria
REKOS;3;1;99;5;5;2;5;5;99;99;1;99;1;2;5;2;99;99;99;4;1;4;99;99;5;5;99;5;2;99;0.5;0.6;-0.785714286;Austria;Austria
EU.STOP;1;1;2;5;5;1;4;5;99;4;1;4;4;4;2;5;99;4;3;99;1;4;99;99;99;99;99;5;2;2;-0.5;;-0.9375;Austria;Austria
GERB;5;99;4;2;2;5;2;3;3;1;2;2;4;1;99;2;4;4;1;5;2;2;4;2;4;99;4;4;3;2;0.75;0.166666667;0.6;Bulgaria;Bulgaria
BSP;5;99;5;4;2;5;2;5;2;4;4;5;1;4;4;2;3;2;5;1;1;2;2;99;2;2;5;4;2;2;-0.785714286;-0.125;0.3;Bulgaria;Bulgaria
MovementRights;4;99;5;3;2;5;3;4;2;2;2;2;4;4;4;3;3;4;4;5;2;4;2;99;4;99;4;5;2;2;0.285714286;0;0.4;Bulgaria;Bulgaria
Attack;2;2;2;5;99;1;4;5;5;5;99;5;1;4;5;5;3;1;5;1;1;1;1;4;5;4;5;1;2;5;-1;0.875;-0.75;Bulgaria;Bulgaria
RB;5;4;5;1;2;5;3;1;4;1;2;1;4;1;2;3;3;4;2;4;2;99;5;99;3;3;3;4;2;2;0.642857143;-0.125;0.916666667;Bulgaria;Bulgaria
BwC;4;2;4;3;2;4;4;5;4;2;2;4;1;5;4;4;3;2;4;1;2;1;2;4;5;2;99;2;2;2;-0.5;0.333333333;0;Bulgaria;Bulgaria
ABV;4;2;5;4;2;4;3;5;4;4;5;4;1;4;4;2;3;2;5;1;2;2;2;99;3;2;99;3;2;2;-0.714285714;-0.166666667;0;Bulgaria;Bulgaria
NFSB;3;2;3;4;2;4;99;5;5;4;4;5;2;4;5;4;3;1;4;1;1;3;2;5;5;99;5;1;2;4;-0.785714286;1;-0.25;Bulgaria;Bulgaria
SDP.Kukuriku;5;99;4;4;1;5;2;4;2;4;2;2;2;3;2;2;1;2;2;2;3;4;4;1;2;1;4;2;5;5;0.25;-0.416666667;0.5;Croatia;Croatia
HDZ;4;2;4;4;1;5;2;2;2;3;2;2;3;2;3;4;5;3;5;2;2;4;1;2;5;4;5;5;4;4;0.125;0.583333333;0.2;Croatia;Croatia
Laburisti;3;99;4;4;2;4;4;4;2;5;1;5;5;3;3;2;5;4;3;4;4;4;5;2;2;1;4;2;5;1;-0.5;-0.5;0.125;Croatia;Croatia
OraH;4;4;4;4;1;4;4;4;2;5;1;2;4;99;1;99;5;2;99;4;4;4;5;2;1;1;1;2;5;99;-0.125;-0.833333333;0.3;Croatia;Croatia
NfiHSLS;4;99;5;99;99;4;99;1;1;1;3;1;1;3;3;4;5;1;5;2;4;4;99;99;2;2;4;4;4;4;1;-0.166666667;0.666666667;Croatia;Croatia
SavezZaHrv;4;1;2;5;2;3;4;5;3;4;2;2;4;99;2;4;5;4;5;2;1;99;4;2;5;5;5;5;1;1;-0.375;1;-0.4;Croatia;Croatia
HSP.AS;2;2;2;4;2;4;4;4;99;3;2;2;3;4;2;4;4;4;5;3;1;2;2;4;5;5;5;5;1;2;-0.166666667;1;-0.3;Croatia;Croatia
DISY;5;3;4;4;2;4;5;2;2;1;2;4;1;3;3;1;1;1;2;1;2;2;2;5;2;1;3;4;1;4;0.611111111;0.166666667;0.75;Cyprus;Cyprus
AKEL;2;4;2;5;4;1;2;4;5;2;5;1;4;5;5;5;5;5;5;4;5;4;1;2;2;5;3;4;1;3;-0.833333333;-0.416666667;-0.5;Cyprus;Cyprus
