Party_ID	Ans_1	Ans_2	Ans_3	Ans_4	Ans_5	Ans_6	Ans_7	Ans_8	Ans_9	Ans_10	Ans_11	Ans_12	Ans_13	Ans_14	Ans_15	Ans_16	Ans_17	Ans_18	Ans_19	Ans_20	Ans_21	Ans_22	Ans_23	Ans_24	Ans_25	Ans_26	Ans_27	Ans_28	Ans_29	Ans_30	X	Y	Z
ND	5	2	4	3	2	5	2	2	4	2	2	2	2	4	1	3	4	5	2	1	2	2	1	1	4	2	4	4	3	2	0.3125	0.1428571429	0.4166666667
Syriza	4	2	5	4	1	4	5	4	3	5	5	5	4	1	5	5	5	4	5	5	4	5	5	2	1	1	1	1	4	1	-0.875	-0.8571428571	0.0833333333
Elia	5	99	5	1	2	5	3	2	4	5	2	3	4	2	1	4	2	3	1	1	4	4	1	1	1	1	2	1	5	1	0.0625	-0.8571428571	0.9
ANEL	4	1	4	4	5	2	5	5	1	5	4	4	4	2	4	5	5	1	4	1	1	99	4	1	4	3	4	5	2	4	-0.4375	0.5714285714	-0.3333333333
GD	3	2	2	5	3	1	5	5	3	4	5	2	4	1	4	5	5	2	5	1	99	4	4	4	5	5	5	5	1	5	-0.4375	1	-0.6666666667
KKE	3	1	5	5	3	1	5	5	1	5	5	5	5	1	5	5	5	5	5	4	4	5	5	1	5	1	5	1	4	1	-1	-0.2857142857	-0.5
DIMAR	5	4	4	1	2	5	4	5	4	5	4	2	3	2	1	4	3	4	3	1	4	4	2	1	1	2	2	1	5	1	-0.125	-0.7857142857	0.5
Potami	5	4	5	1	1	5	99	99	5	4	4	3	3	1	2	3	4	4	3	5	5	99	3	2	1	1	2	1	5	1	-0.125	-0.9285714286	0.9
Greens	5	4	5	2	1	4	5	2	4	4	4	3	3	2	4	5	4	4	5	5	5	4	5	1	1	1	1	1	4	1	-0.5	-0.9285714286	0.6666666667
Drassi	5	5	5	1	2	5	2	1	5	1	1	1	1	4	1	1	2	1	1	2	5	4	2	1	1	1	1	1	5	1	1	-1	1
