,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
8,3.0,2.0,3.0,1.0,0.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,4.0,0.0,3.0
9,4.0,1.0,3.0,3.0,0.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0
12,3.0,3.0,3.0,1.0,0.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,2.0,1.0,4.0,0.0,4.0,3.0
17,4.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
21,4.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
24,4.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0
26,4.0,1.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0
31,4.0,4.0,3.0,1.0,0.0,4.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0
41,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,0.0,3.0
45,4.0,1.0,3.0,1.0,0.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,1.0,3.0
52,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,4.0,4.0,0.0,3.0
57,4.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,0.0,3.0
