,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
0,2.0,3.0,1.0,5.0,1.0,1.0,5.0,1.0,0.0,3.0,2.0,0.0,3.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,4.0,2.0,3.0
3,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0
6,1.0,1.0,1.0,4.0,1.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,0.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0
8,1.0,1.0,1.0,4.0,3.0,0.0,3.0,5.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,3.0,3.0,0.0,3.0,2.0,2.0,1.0
11,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,4.0
14,1.0,0.0,0.0,4.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,4.0,3.0,1.0,1.0
17,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,4.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0
26,1.0,3.0,3.0,3.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,4.0,2.0,4.0,0.0,4.0,3.0,2.0,2.0
27,1.0,0.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,3.0,4.0,0.0,4.0
28,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0
29,0.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,4.0,3.0
32,3.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,4.0,0.0,4.0,4.0,3.0,2.0
33,4.0,4.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0,3.0,3.0,3.0,1.0
40,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,0.0,4.0,4.0,1.0,4.0
42,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,2.0,4.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,0.0,2.0,4.0
45,0.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0
46,1.0,0.0,2.0,4.0,1.0,0.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0
50,2.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,3.0
68,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,4.0,2.0,1.0,2.0,0.0,2.0,3.0,3.0
72,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,4.0,0.0,4.0,4.0,1.0,1.0
74,0.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0,3.0,0.0
78,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0
79,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0
81,0.0,4.0,2.0,4.0,0.0,0.0,3.0,4.0,2.0,4.0,0.0,4.0,5.0,4.0,5.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,4.0
83,0.0,2.0,1.0,4.0,3.0,0.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0
85,3.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,3.0,4.0,2.0,3.0,0.0,4.0,1.0,1.0,3.0
90,0.0,4.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0
95,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,4.0,2.0,3.0
97,3.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,4.0,1.0
100,0.0,1.0,5.0,4.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0
102,1.0,0.0,0.0,4.0,1.0,1.0,4.0,4.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0
111,0.0,1.0,1.0,4.0,0.0,0.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,3.0,4.0,0.0,4.0,1.0,4.0,3.0
112,3.0,2.0,1.0,0.0,4.0,3.0,4.0,4.0,0.0,3.0,3.0,1.0,3.0,4.0,1.0,0.0,3.0,4.0,0.0,0.0,3.0,1.0,4.0,2.0,4.0,0.0,4.0,1.0,4.0,4.0
118,0.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,4.0,4.0,4.0,4.0
120,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0
121,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,0.0
123,0.0,3.0,2.0,4.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0
127,2.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,4.0,4.0,0.0,3.0
129,0.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0
