,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
0,4.0,4.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,1.0,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,3.0,4.0,1.0
2,4.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,3.0
3,3.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
4,3.0,1.0,4.0,0.0,3.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0
14,4.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0
19,4.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,2.0,4.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0
20,4.0,3.0,4.0,2.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0
22,4.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,5.0,5.0,1.0,5.0,0.0,1.0,3.0,3.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0
30,4.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,2.0,4.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0
38,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,0.0
45,4.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0
51,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,0.0
60,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,3.0,2.0,4.0,1.0
70,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,0.0,1.0,4.0,0.0
71,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,4.0,0.0,0.0,4.0,2.0
72,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0
81,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0
85,4.0,4.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,0.0,5.0,2.0,5.0,3.0,4.0,4.0,0.0,1.0,3.0,5.0,5.0,4.0,0.0
86,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0
100,4.0,4.0,3.0,0.0,2.0,4.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0,1.0
103,4.0,4.0,4.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,2.0
110,4.0,3.0,4.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,4.0,1.0,2.0,4.0,0.0
123,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0
126,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,0.0,5.0,0.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0
127,1.0,0.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0
134,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
154,1.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,3.0,0.0,0.0,3.0
157,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
160,4.0,4.0,2.0,0.0,4.0,4.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0
177,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
184,4.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,0.0,1.0,2.0,2.0,3.0,0.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0
188,4.0,3.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0
189,4.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0
190,4.0,3.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0
201,4.0,3.0,3.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0
203,4.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0
206,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,3.0,2.0,2.0,4.0,1.0
211,3.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,0.0,1.0,3.0,4.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,4.0,1.0
212,4.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0
213,3.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,0.0,1.0,4.0,0.0
217,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0
231,4.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,0.0,2.0,4.0,0.0,3.0,4.0,0.0
234,4.0,3.0,1.0,1.0,0.0,4.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,0.0,3.0
244,4.0,1.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0
253,4.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0
268,4.0,4.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
273,3.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0
284,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0
288,3.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0
289,4.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,1.0,0.0,3.0,4.0,0.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
290,4.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0
299,4.0,4.0,4.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0
302,4.0,4.0,3.0,0.0,1.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,3.0,0.0,1.0,4.0,1.0
304,1.0,1.0,1.0,4.0,0.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0
306,1.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
321,3.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0
326,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0
330,4.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0
333,4.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,0.0,1.0,5.0
